colony	idx	ncells	memoir	membow	genotypes	edits	clusters	missclassified
s19_c1_data	43	12	0.422632794	0.8	8	0.741666667		
s3_c1_data	68	10	0.697885196	0.6	8	0.46		
s20_c3_data	59	8	0.565217391	0.6	8	0.5625		
s2_c5_data	53	9	0.476439791	0.4	8	0.477777778		
s19_c4_data	46	14	0.053030303	0.4	8	0.535714286		
s16_c7_data	36	9	0.284436494	0.2	8	0.644444444		
s21_c5_data	67	13	0	0.2	8	0.469230769		
s10_c4_data	6	10	0.846390169	1	7	0.44		
s5_c1_data	81	9	0.821109123	0.75	7	0.3		
s16_c6_data	35	20	0.39867709	0.75	7	0.725		
s8_c4_data	106	16	0.686520376	0.5	7	0.63125		
s2_c2_data	50	13	0.375	0.25	7	0.607692308		
s19_c3_data	45	7	0.193548387	0.25	7	0.4		
s4_c3_data	75	14	0.443413729	0	7	0.635714286		
s6_c3_data	95	22	0.143468951	0	7	0.036363636		
s12_c1_data	9	8	0.11308204	0	7	0.575		
s20_c1_data	57	9	0.097472924	0	7	0.5		
s11_c1_data	8	6	1	1	6	0.816666667		
s16_c4_data	33	9	1	1	6	0.711111111		
s16_c8_data	37	11	1	1	6	0.4		
s3_c3_data	70	10	0.548192771	1	6	0.38		
s10_c5_data	7	10	0.848254932	0.666666667	6	0.53		
s4_c5_data	77	9	0.822695035	0.666666667	6	0.622222222		
s8_c3_data	105	15	0.657240788	0.333333333	6	0.466666667		
s15_c5_data	26	10	0.546142209	0.333333333	6	0.51		
s14_c3_data	18	9	0.470899471	0.333333333	6	0.611111111		
s1_c1_data	1	9	0.461400359	0.333333333	6	0.655555556		
s19_c2_data	44	15	0.396031061	0.333333333	6	0.673333333		
s16_c5_data	34	10	0.848024316	1	5	0.69		
s2_c10_data	48	12	0.766899767	1	5	0.8		
s6_c1_data	93	8	0.356223176	1	5	0.7		
s8_c1_data	103	12	0.766081871	0.5	5	0.833333333		
s10_c1_data	3	12	0.653579677	0.5	5	0.35		
s13_c3_data	15	9	0.640933573	0.5	5	0.655555556		
s15_c6_data	27	12	0.533255543	0.5	5	0.691666667		
s2_c9_data	56	13	0.484536082	0.5	5	0.453846154		
s5_c13_data	85	8	0.360341151	0.5	5	0.2		
s15_c3_data	24	5	0.315068493	0.5	5	0.52		
s21_c1_data	64	13	0.277605779	0.5	5	0.769230769		
s20_c2_data	58	19	0	0.5	5	0.284210526		
s1_c2_data	2	4	1	1	4	0.675		
s12_c2_data	10	4	1	1	4	0.675		
s12_c3_data	11	4	1	1	4	0.675		
s16_c2_data	31	6	1	1	4	0.566666667		
s16_c9_data	38	4	1	1	4	0.55		
s4_c4_data	76	5	1	1	4	0.14		
s5_c4_data	88	9	1	1	4	0.7		
s5_c9_data	92	6	1	1	4	0.733333333		
s7_c6_data	101	4	1	1	4	0.55		
s14_c4_data	19	7	0.726775956	1	4	0.514285714		
s16_c3_data	32	7	0.442896936	1	4	0.585714286		
s5_c2_data	86	12	0.306358382	1	4	0.066666667		
s7_c2_data	97	9	0.470899471	0	4	0.611111111		
s4_c6_data	78	15	0.310344828	0	4	0.78		
s4_c7_data	79	4	0	0	4	0.05		
s20_c7_data	63	3	1	1	3	0.633333333		
s5_c6_data	90	3	1	1	3	0.566666667		
s6_c2_data	94	3	1	1	3	0.433333333		
s8_c2_data	104	6	1	1	3	0.666666667		
s9_c6_data	114	3	1	1	3	0.533333333		
s4_c1_data	73	8	0.781181619	1	3	0.525		
s20_c4_data	60	10	0.550898204	1	3	0.6		
s5_c11_data	83	8	0.781181619	0	3	0.925		
s4_c10_data	74	12	0.184149184	0	3	0.066666667		
